 L_T1, L_T2, L_T3, L_T4, L_T5, L_T6, L_T7, F_PU1, S_PU1, F_PU2, S_PU2, F_PU3, S_PU3, F_PU4, S_PU4, F_PU5, S_PU5, F_PU6, S_PU6, F_PU7, S_PU7, F_PU8, S_PU8, F_PU9, S_PU9, F_PU10, S_PU10, F_PU11, S_PU11, F_V2, S_V2, P_J280, P_J269, P_J300, P_J256, P_J289, P_J415, P_J302, P_J306, P_J307, P_J317, P_J14, P_J422, ATT_FLAG
1.5,5.22,4.66,3.38,2.5,5.5,4.35,96.29,1.0,96.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.21,1.0,34.35,1.0,0.0,0.0,29.34,1.0,0.0,0.0,67.59,1.0,2.98,34.96,30.32,75.3,30.28,89.15,20.76,83.84,20.65,72.74,32.78,31.88,-999
2.69,3.79,3.77,2.57,3.69,5.5,2.77,97.23,1.0,97.25,1.0,0.0,0.0,36.1,1.0,0.0,0.0,0.0,0.0,50.06,1.0,34.76,1.0,0.0,0.0,29.8,1.0,0.0,0.0,81.51,1.0,2.97,34.46,28.15,88.32,28.22,85.44,20.8,83.18,20.69,71.34,31.12,30.22,-999
2.99,4.01,4.18,2.89,3.07,5.27,2.07,95.49,1.0,95.51,1.0,0.0,0.0,35.86,1.0,0.0,0.0,0.0,0.0,49.56,1.0,0.0,0.0,0.0,0.0,32.76,1.0,0.0,0.0,88.07,1.0,2.98,35.39,28.4,89.01,28.48,86.68,27.89,62.14,27.76,68.3,31.41,30.51,-999
3.57,0.57,5.1,3.73,3.91,5.5,4.15,91.9,1.0,91.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.77,1.0,35.47,1.0,0.0,0.0,30.49,1.0,0.0,0.0,0.0,0.0,2.98,37.3,23.74,73.58,23.7,85.24,22.89,84.04,22.78,71.18,40.63,25.1,-999
1.53,3.98,4.46,3.12,3.01,4.99,2.57,96.15,1.0,96.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.17,1.0,0.0,0.0,0.0,0.0,31.9,1.0,0.0,0.0,77.31,1.0,2.98,35.04,29.43,73.75,29.39,88.33,26.97,63.32,26.85,70.46,31.93,31.03,-999
3.81,0.73,5.25,3.49,2.23,5.5,3.89,118.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.33,1.0,35.08,1.0,0.0,0.0,29.59,1.0,0.0,0.0,83.87,1.0,2.99,22.57,26.46,73.04,26.42,85.05,19.59,81.43,19.49,70.79,29.01,28.11,-999
2.87,2.95,3.16,2.38,3.53,5.5,3.24,96.15,1.0,96.17,1.0,0.0,0.0,35.77,1.0,0.0,0.0,0.0,0.0,50.02,1.0,35.08,1.0,0.0,0.0,30.47,1.0,0.0,0.0,91.92,1.0,2.98,35.04,27.37,88.13,27.44,84.75,21.19,83.03,21.08,69.55,30.4,29.5,-999
0.63,3.71,5.12,4.27,3.79,5.5,3.84,97.43,1.0,97.45,1.0,0.0,0.0,34.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.83,1.0,0.0,0.0,28.72,1.0,0.0,0.0,67.78,1.0,2.97,34.35,29.38,92.72,29.48,66.43,20.1,84.03,20.0,73.99,31.85,30.95,-999
1.62,2.76,3.09,2.4,3.44,5.5,2.92,120.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82,1.0,34.41,1.0,0.0,0.0,30.05,1.0,0.0,0.0,63.03,1.0,2.99,21.67,27.7,69.75,27.66,83.38,18.46,81.44,18.35,68.19,30.14,29.24,-999
4.45,4.56,4.53,3.89,1.64,5.5,3.74,90.79,1.0,90.81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.18,1.0,36.56,1.0,0.0,0.0,30.67,1.0,0.0,0.0,0.0,0.0,2.98,37.88,27.64,72.44,27.6,86.52,23.49,82.7,23.37,71.2,41.49,29.01,-999
2.86,4.48,4.88,3.39,2.17,5.21,3.19,93.82,1.0,93.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.51,1.0,0.0,0.0,67.11,1.0,2.98,36.28,32.59,76.21,32.59,65.82,28.56,62.75,28.43,69.9,34.86,33.96,-999
